ID;ACTIVE;NAME;CATEGORIES;PRICE_TAX_EXCLUDE;TAX_RULE_ID;WHOLESALE_PRICE;ON_SALE;DISCOUNT_AMOUNT;DISCOUNT_PERCENT;DISCOUNT_FROM;DISCOUNT_TO;bb_REFERENCE;SUPPLIER_REFERENCE;SUPPLIER;MANUFACTER;EAN13;UPC;ECOTAX;WIDTH;HEIGHT;DEPTH;WEIGHT;QUANTITY;MINIMAL_QUANTITY;VISIBILITY;ADDITIONAL_SHIPPING_COST;UNITY;UNIT_PRICE;SHORT_DESCRIPTION;DESCRIPTION;TAGS;META_TITLE;META_KEYWORDS;META_DESCRIPTION;URL_REWRITTEN;TEXT_WHEN_IN_STOCK;TEXT_WHEN_BACKODER_ALLOWED;AVAILABLE_FOR_ORDER;PRODUCT_AVAILABLE_DATE;PRODUCT_CREATION_DATE;PRODUCT_UPDATE_DATE;SHOW_PRICE;IMAGES_URL;DELETE_EXISTING_IMAGES;FEATURE;AVAILABLE_ONLINE_ONLY;CONDITION;CUSTOMIZABLE;UPLOADABLE_FILES;TEXT_FIELDS;OUT_OF_STOCK;ID_NAME_OF_SHOP;ADVANCED_STOCK_MANAGEMENT;DEPENDS_ON_STOCK;WAREHOUSE
106;1;"Warme Dieren Slippers";2974,2682,2667,2662,2573,2570,2202;13.97;1;7.26;;;;;;F1520103;;;2897;7569000751570;;0;30;26;51;0.38;9;1;both;;;;"Koop Warme Dieren Slippers tegen de beste prijs. De Warme Dieren Slippers zijn beschikbaar in 4 verschillende designs in dieren vormen. De Warme Dieren Slippers zijn 40cm lang. Denk er...";"<p><strong>Koop Warme Dieren Slippers tegen de beste prijs.</strong> De <strong>Warme Dieren Slippers </strong>zijn beschikbaar in 4 verschillende designs in <strong>dieren</strong> vormen. De <strong>Warme Dieren Slippers</strong> zijn 40cm lang. Denk er alstublieft aan dat deze <strong>slipper</strong> voor veel verschillende schoenmaten past. Mis dit ongelooflijke <strong>aanbod</strong> niet en <strong>koop</strong> de <strong>Warme Dieren Slippers</strong> nu tegen <strong>de beste prijs</strong>! </p>";;;;;warme-dieren-slippers;;;1;;2012-05-21;2018-03-14;1;http://dropshipping.bigbuy.eu/imgs/zapatillas-calientapies-animales-10.jpg,http://dropshipping.bigbuy.eu/imgs/zapatillas-calientapies-animales-03.jpg,http://dropshipping.bigbuy.eu/imgs/bro130_1.jpg,http://dropshipping.bigbuy.eu/imgs/zapatillas-calientapies-animales-02.jpg,http://dropshipping.bigbuy.eu/imgs/zapatillas-calientapies-animales-01.jpg;0;;0;new;0;0;0;0;0;0;0;0
529;1;"Pen Sleutelhanger";2899,2688,2662,2584,2570,2399,2202;2.47;1;1.26;;;;;;H3525113;;;2253;7569000753529;;0;1;9.5;2;0.009;104;1;both;;;;"Koop de Pen Sleutelhanger tegen de beste prijs. De Pen Sleutelhanger is het perfecte cadeau voor warhoofden of voor iedereen anders. De Pen Sleutelhanger is een pen ter grootte van een sleutel die je...";"<p><strong>Koop de Pen Sleutelhanger tegen de beste prijs. </strong>De <strong>Pen Sleutelhanger </strong>is het perfecte cadeau voor warhoofden of voor iedereen anders. De <strong>Pen Sleutelhanger </strong>is een <strong>pen </strong>ter grootte van een sleutel die je overal mee kan nemen dankzij de <strong>sleutelhanger</strong>. Dankzij de <strong>Pen Sleutelhanger</strong> heb je altijd een <strong>pen </strong>bij de hand. Onthou gewoon dat je een <strong>Pen Sleutelhanger hebt</strong>, wanneer je er eentje nodig hebt.</p><p>X</p>";;;;;pen-sleutelhanger;;;1;;2012-08-20;2018-03-14;1;http://dropshipping.bigbuy.eu/imgs/bro261_1.jpg,http://dropshipping.bigbuy.eu/imgs/bro261_2.jpg,http://dropshipping.bigbuy.eu/imgs/llavero-boligrafo-00.jpg;0;;0;new;0;0;0;0;0;0;0;0
680;1;"Oorwarmers met Hoofdtelefoon";2921,2882,2671,2662,2624,2617,2609,2591,2584,2570,2202;4.56;1;3.42;;;;;;F1015129;;;2253;6922848644922;;0;14.5;17;12;0.171;0;1;both;;;;"De oorwarmers met hoofdtelefoon beschermen je oren tegen de kou. Deze oorwarmers nemen weinig plaats in en je kan ze makkelijk kwijt in je handtas. De oorwarmers met hoofdtelefoon komen inclusief een...";"<p>De <strong>oorwarmers met hoofdtelefoon</strong> beschermen je oren tegen de kou. Deze oorwarmers nemen <strong>weinig plaats</strong> in en je kan ze makkelijk kwijt in je handtas. De oorwarmers met hoofdtelefoon komen inclusief een plug en een jack (3.5mm) die compatibel zijn met de meeste telefoons, tablets, mp3, mp4 op de markt, inclusief Samsug, iPhone, iPad, etc. En wat meer is, met deze hoofdtelefoon kan je het <strong>volume</strong> van je muziek aanpassen op het bijgeleverde kabeltje. Kleur: zwart.</p>";;;;;oorwarmers-met-hoofdtelefoon;;;1;;2014-08-04;2018-03-14;1;http://dropshipping.bigbuy.eu/imgs/orejeras-con-auriculares-00.jpg,http://dropshipping.bigbuy.eu/imgs/orejeras-auriculares1.jpg,http://dropshipping.bigbuy.eu/imgs/orejeras-auriculares3.jpg,http://dropshipping.bigbuy.eu/imgs/orejeras-con-auriculares-01.jpg;0;;0;new;0;0;0;0;0;0;0;0
1523;1;"5 cm in 1 sec Inlegzolen";2978,2676,2672,2573,2570,2202;4.1;1;1.79;;;;;;F1520242;;;1506;4899888100737;;0;3;23.5;12;0.195;0;1;both;;;;"De 5 cm in 1 sec Inlegzolen verhogen je lengte onmiddellijk, onopvallend en discreet, zonder dat iemand het zal merken. Je hoeft de inlegzool alleen maar in de hak van je schoen, sportschoen,...";"<p>De <strong>5 cm in 1 sec Inlegzolen </strong>verhogen je <strong>lengte</strong> onmiddellijk, onopvallend en discreet, zonder dat iemand het zal merken. Je hoeft de inlegzool alleen maar in de hak van je schoen, sportschoen, laarzen of ander schoeisel te doen. De 5 cm in 1 sec<strong> inlegzool</strong> heeft 5 niveaus gemaakt van stevige, zachte en anti-slip siliconen. </p><p><a href=""http://www.5cmin1sec.com"" target=""_blank""><strong>www.5cmin1sec.com</strong></a></p>";;;;;5-cm-in-1-sec-inlegzolen;;;1;;2014-08-04;2018-03-14;1;http://dropshipping.bigbuy.eu/imgs/5-cm-in-1-sec-00.jpg,http://dropshipping.bigbuy.eu/imgs/5-cm-in-1-sec-01.jpg,http://dropshipping.bigbuy.eu/imgs/5-cm-in-1-sec-02.jpg,http://dropshipping.bigbuy.eu/imgs/5-cm-in-1-sec-03.jpg;0;;0;new;0;0;0;0;0;0;0;0
1539;1;"Shaka Phone Hands Free Handschoenen";2941,2671,2662,2624,2617,2609,2591,2584,2570,2202;16.8;1;8;;;;;;F1015155;;;1503;4899888102717;;0;13.5;24;3.3;0.153;811;1;both;;;;"Shaka Phone hands-free handschoenen zijn bluetooth handschoenen, uitgerust met een geïntegreerde koptelefoon en een microfoon in de vingertoppen. De Shaka Phone hands-free handschoenen beschermen...";"<p><strong>Shaka Phone hands-free handschoenen</strong> zijn bluetooth handschoenen, uitgerust met een geïntegreerde <strong>koptelefoon</strong> en een <strong>microfoon</strong> in de vingertoppen. De Shaka Phone hands-free handschoenen beschermen je tegen gsm-straling. De Shaka Phone hands-free handschoenen zijn compatibel met alle bluetooth telefoons en zijn speciaal ontwikkeld voor gebruikers van smartphones met touch screens (100% compatibel met smartphones: iPhone, Android, Windows, BB). Dankzij de geavanceerde technologie zijn de vingertoppen geleidend en touch screen-gevoelig.  </p><p>De Shaka Phone hands-free gloves bevatten:</p><ul><li>een paar zwarte hands-free handschoenen</li><li>USB oplaadkabel</li><li>Instructieboekje</li></ul><p>Eigenschappen:</p><ul><li>Samenstelling: 84% acryl, 10% spandex, 6% geleidende vezels, 2.1% polyester, 2.1% katoen, 1.8% andere vezels</li><li>Bereik: 10m</li><li>Oplaadtijd: 1.5 uur</li><li>Standby batterij bereik: 30 uur</li><li>Batterij praattijd: 12 uur</li><li>Droogkuis</li></ul><p><a href=""http://www.shaka-phone.com"" target=""_blank""><strong>www.shaka-phone.com</strong></a></p>";;;;;shaka-phone-hands-free-handschoenen;;;1;;2014-01-14;2018-03-09;1;http://dropshipping.bigbuy.eu/imgs/shaka-phone-00_1.jpg,http://dropshipping.bigbuy.eu/imgs/shaka-phone-04.jpg,http://dropshipping.bigbuy.eu/imgs/shaka-phone-03.jpg,http://dropshipping.bigbuy.eu/imgs/shaka-phone-01.jpg;0;;0;new;0;0;0;0;0;0;0;0
1752;1;"Festival schoenenhoezen (verpakt per 2)";3040,2582,2573,2571,2570,2488,2202;3.84;1;1.97;;;;;;H2500181;;;2897;7569000745579;;0;9;20.5;3.5;0.067;38;1;both;;;;"Deze festival schoenenhoezen zijn gemaakt van plastic en zorgen ervoor dat je je schoenen kunt beschermen tegen water, vuil etc. Ze zijn perfect voor concerten of soortgelijke gelegenheden. Ze zijn...";"<p>Deze <strong>festival schoenenhoezen</strong> zijn gemaakt van <strong>plastic </strong>en zorgen ervoor dat je je<strong> schoenen kunt beschermen</strong> tegen water, vuil etc. Ze zijn perfect voor concerten of soortgelijke gelegenheden. Ze zijn erg handig en makkelijk in het gebruik. Ook kun je ze hergebruiken en overal mee naartoe nemen omdat ze erg weinig ruimte in beslag nemen.</p><p>Formaat: ong. 35 x 23 x 17 cm.</p><p>Verschillende kleuren beschikbaar, welke u krijgt is afhankelijk van de beschikbare voorraad.</p><p>Gratis winkeldisplay bij aankoop van 12 verpakkingen.</p>";;;;;festival-schoenenhoezen-verpakt-per-2;;;1;;2014-06-10;2018-03-14;1;http://dropshipping.bigbuy.eu/imgs/funda-zapatos-conciertos-00.jpg,http://dropshipping.bigbuy.eu/imgs/funda-zapatos-conciertos-02.jpg,http://dropshipping.bigbuy.eu/imgs/funda-zapatos-conciertos-03.jpg,http://dropshipping.bigbuy.eu/imgs/funda-zapatos-conciertos-01.jpg;0;;0;new;0;0;0;0;0;0;0;0
1805;1;"Welcome Slipper Houder met Slippers";2974,2725,2708,2663,2662,2573,2570,2399,2202;9.41;1;4.69;;;;;;D4010163;;;2897;7569000747368;;0;6;25.5;35;0.304;42;1;both;;;;"Hang deze Welcome slipper houder met slippers op een zichtbare plek zodat iedereen die op bezoek komt, zijn schoenen uittrekt en slippers aantrekt. Zo zal iedereen comfortabel zijn en je vloer en...";"<p>Hang deze <strong>Welcome slipper</strong> <strong>houder met slippers</strong> op een zichtbare plek zodat iedereen die op bezoek komt, zijn schoenen uittrekt en slippers aantrekt. Zo zal iedereen comfortabel zijn en je vloer en taptijt gaan er niet aan tenonder. De <strong>Welcome slipper houder </strong>is gemaakt van vilt. Afmetingen: ong. 29 x 52 x 7 cm. Samenstelling: 100% polyester.</p><p>Inclusief 4 paar <strong>vilten slippers</strong> in verschillende kleuren. Maten: 38, 40, 43 and 45 (een paar in elke maat).</p><p> </p>";;;;;welcome-slipper-houder-met-slippers;;;1;;2014-08-04;2018-03-14;1;http://dropshipping.bigbuy.eu/imgs/pantufla-jumbo-welcome-00.jpg,http://dropshipping.bigbuy.eu/imgs/pantufla-jumbo-welcome-02.jpg,http://dropshipping.bigbuy.eu/imgs/pantufla-jumbo-welcome-03.jpg,http://dropshipping.bigbuy.eu/imgs/pantufla-jumbo-welcome-01.jpg;0;;0;new;0;0;0;0;0;0;0;0
1891;1;"Comfortabele Jeans";2676,2672,2580,2573,2570,2202;10.2;1;4.5;;;;;;F1510220;;;2897;0;;0;27.5;5;27.5;0;211;1;both;;;;"Ga voor ultiem comfort met de comfortabele jeans, zowel binnenshuis als buitenshuis! Gemaakt van katoen (95%) en elasthaan (5%). Deze broek ziet er mooi uit omdat hij op een echte jeans lijkt en is...";"<p>Ga voor ultiem <strong>comfort </strong>met de <strong>comfortabele jeans</strong>, zowel binnenshuis als buitenshuis! Gemaakt van katoen (95%) en elasthaan (5%). Deze broek ziet er mooi uit omdat hij op een echte jeans lijkt en is praktisch. Hij past om uw lichaam zonder te strak te zitten. Perfect voor alles wat u doet en zelfs bruikbaar als pyjamabroek. Unisex.</p><p>Koud wassen en niet strijken. Dat bespaart u tijd en moeite.</p><ul><li> M: 32 x 93 cm/ L: 35 x 97 cm/ XL: 39 x 97 cm</li></ul>";;;;;comfortabele-jeans;;;1;;2014-08-04;2018-03-13;1;http://dropshipping.bigbuy.eu/imgs/pajama-jeans.jpg,http://dropshipping.bigbuy.eu/imgs/pantalones-pijama-jeans-01.jpg,http://dropshipping.bigbuy.eu/imgs/pantalones-pijama-jeans-02.jpg,http://dropshipping.bigbuy.eu/imgs/pantalones-pijama-jeans-06.jpg,http://dropshipping.bigbuy.eu/imgs/pantalones-pijama-jeans-07.jpg;0;;0;new;0;0;0;0;0;0;0;0
1902;1;"Magnetische Silicone Inlegzolen";2978,2676,2672,2573,2570,2505,2502,2501,2202;15.12;1;7.75;;;;;;B1520108;;;2897;0;;0;12.5;1;32;0;0;1;both;;;;"De Magnetische Silicone Inlegzolen verminderen effectief de drukpunten in de voorvoet en de hiel en de impact op uw enkels, knieën, heupen en rug. Ze zijn voorzien van een middenvoetsbeen kussentje...";"<p>De <strong>Magnetische Silicone Inlegzolen</strong> verminderen effectief de drukpunten in de voorvoet en de hiel en de impact op uw enkels, knieën, heupen en rug. Ze zijn voorzien van een middenvoetsbeen kussentje en een licht voorgevormde ondersteuning van de voetboog. De magnetische silicone <strong>inlegzolen</strong> zijn <strong>uniseks</strong>, anti-slip en kunnen gebruikt worden in <strong>elk type schoeisel</strong>: vrijetijds, werk- of sportschoenen. </p>";;;;;magnetische-silicone-inlegzolen;;;1;;2014-08-04;2018-02-23;1;http://dropshipping.bigbuy.eu/imgs/improducto_1441_1_nor.jpg,http://dropshipping.bigbuy.eu/imgs/plantilla_silicona.jpg,http://dropshipping.bigbuy.eu/imgs/plantillas-de-silicona-.jpg,http://dropshipping.bigbuy.eu/imgs/image001.jpg;0;;0;new;0;0;0;0;0;0;0;0
1947;1;"Originele Portemonnees";2693,2662,2591,2584,2570,2202;6.45;1;3.3;;;;;;D4010121;;;2253;0;;0;11.5;12;2;0;0;1;both;;;;"Koop Originele Portemonnees tegen de beste prijs. We presenteren hier de collectie van design portemonnees waarmee je je credit cards, bankbiljetten en zelfs je munten op dezelfde plaats kan bewaren....";"<p><strong>Koop Originele Portemonnees tegen de beste prijs. </strong>We presenteren hier de collectie van <strong>design portemonnees </strong>waarmee je je <strong>credit cards, bankbiljetten </strong>en zelfs je <strong>munten </strong>op dezelfde plaats kan bewaren. Daarnaast kan je zelf de uitvoering kiezen die het beste bij jouw persoonlijkheid past. We bieden design <strong>portemonnees </strong>aan onder andere naar het model van Europese en Amerikaanse bankbiljetten en paspoortontwerpen.<br />Het zijn typische <strong>mannenportemonnees </strong>maar met zo'n grappige design dat ze ook voor vrouwen geschikt zijn.<br />Maar wees voorzichtig en laat hem niet rondslingeren -iemand zou in de verleiding kunnen komen om hem te stelen!</p><p><br /><br /></p>";;;;;originele-portemonnees;;;1;;2013-04-14;2018-02-23;1;http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-03.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-100euro.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-200euro.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-100dollar.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-fbi.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-50dollar.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-airmail.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-irelandpassport.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-usapassport.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-500euro.jpg,http://dropshipping.bigbuy.eu/imgs/carteras-originales-00.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-01.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-02.jpg,http://dropshipping.bigbuy.eu/imgs/cartera-sobre-pasaporte-04.jpg;0;;0;new;0;0;0;0;0;0;0;0
